product_id,product_name,category,cost,price
P001,Vertex Webcam,Electronics,766000,934000
P002,Blue River Denim Jeans,Clothing,215000,288000
P003,Living Plus Frying Pan,Home Goods,485000,595000
P004,Bright Home Storage Basket,Home Goods,985000,1255000
P005,NovaTech USB-C Hub,Electronics,1951000,2643000
P006,Pure Glow Vitamin C Serum,Beauty,731000,896000
P007,Golden Harvest Rice Paper,Food,174000,218000
P008,Living Plus Kitchen Knife,Home Goods,742000,1084000
P009,Nexa Wireless Earbuds,Electronics,1582000,2154000
P010,Cozy Space Kitchen Knife,Home Goods,232000,321000
P011,Fresh Day Vietnamese Coffee,Food,120000,156000
P012,Everyday Canvas Sneakers,Clothing,109000,136000
P013,Fresh Day Green Tea,Food,209000,265000
P014,Cozy Space Electric Kettle,Home Goods,154000,213000
P015,Lumi Beauty Shampoo,Beauty,991000,1233000
P016,Cozy Space Bed Sheet Set,Home Goods,512000,758000
P017,Golden Harvest Jasmine Rice,Food,293000,396000
P018,Blue River Polo Shirt,Clothing,698000,889000
P019,Fresh Day Soy Sauce,Food,29000,39000
P020,Natural Touch Shampoo,Beauty,499000,561000
P021,Lumina Mechanical Keyboard,Electronics,1686000,2466000
P022,Daily Skin Moisturizing Cream,Beauty,646000,911000
P023,Natural Touch Body Lotion,Beauty,184000,269000
P024,Blue River Running Shoes,Clothing,236000,301000
P025,Nexa USB-C Hub,Electronics,1406000,1837000
P026,Golden Harvest Instant Noodles,Food,138000,178000
P027,Everyday Denim Jeans,Clothing,468000,639000
P028,Pure Glow Facial Cleanser,Beauty,757000,1005000
P029,Everyday Polo Shirt,Clothing,682000,873000
P030,NovaTech Bluetooth Speaker,Electronics,748000,1099000
